CLIENTE,PRODUCTO,PRECIO,CANTIDAD,CIUDAD,VENDEDOR,FECHA,ESTADO,CATEGORIA;
Charita Gerleit,etc...,1268327,2,etc...,Oscar,12/06/2024,Pendiente,Accesorios;
Kimberlee Enrietto,etc...,1881758,9,Medellín,John,06/28/2024,Pendiente,etc...;
Guthry Glasman,Laptop,1171976,6,etc...,John,10/24/2024,Cerrado,Accesorios;
Denyse Cardus,Laptop,726112,3,Bogotá,John,04/07/2025,Cancelado,etc...;
Kory Morey,Celular,485288,3,Cali,Oscar,08/24/2024,Pendiente,Tecnología;
Alic Treweek,etc...,321295,7,Bogotá,Oscar,07/18/2024,Cerrado,Tecnología;
Maggi Rosingdall,Televisor,487405,7,Cali,John,07/31/2024,Cerrado,etc...;
Jillian Wissbey,Laptop,921952,9,Cali,Karen,03/05/2025,Pendiente,Electrodomésticos;
Sari Kimbell,Laptop,1017240,10,Medellín,John,05/22/2024,Cancelado,Accesorios;
Prudy Hastwall,Celular,592708,1,Medellín,Oscar,04/20/2025,Cancelado,etc...;
Shanda Iskowitz,Celular,1368376,6,Cali,Karen,04/29/2025,Cancelado,Accesorios;
Linea Esberger,Televisor,408080,1,Bogotá,Oscar,07/24/2024,Cerrado,Electrodomésticos;
Ramonda Teulier,Televisor,1592360,5,etc...,John,05/02/2025,Cerrado,Tecnología;
Denise Pipet,Laptop,450397,7,Cali,Karen,02/10/2025,Pendiente,Electrodomésticos;
Puff Cockshutt,etc...,1740241,2,etc...,Karen,03/09/2025,Pendiente,Accesorios;
Arluene Davley,Celular,2701038,8,Bogotá,Oscar,10/26/2024,Cerrado,Electrodomésticos;
Rhea McTurley,Televisor,2381538,7,etc...,John,05/18/2024,Cancelado,Tecnología;
Lorri Drakes,etc...,121181,7,Medellín,Oscar,02/13/2025,Cancelado,etc...;
Althea Mityushkin,Celular,924066,3,Bogotá,Oscar,08/03/2024,Cancelado,Tecnología;
Elonore Renoden,Televisor,2063368,10,etc...,John,07/06/2024,Cancelado,Electrodomésticos;
Ewen Beamand,Celular,1710480,5,Cali,Karen,08/15/2024,Cancelado,Tecnología;
Derk Corain,Laptop,1119147,4,Bogotá,Oscar,12/18/2024,Pendiente,Accesorios;
Alisa Puckinghorne,Celular,508059,6,Medellín,John,08/28/2024,Cancelado,Electrodomésticos;
Jessy Guillain,etc...,1246761,7,Cali,Karen,07/13/2024,Cerrado,Accesorios;
Ardys Lacknor,Celular,2037466,9,etc...,Oscar,12/06/2024,Pendiente,Accesorios;
Salome Blazewski,etc...,2039836,10,etc...,Karen,05/25/2024,Cancelado,Accesorios;
Rosemaria Leedal,etc...,1890021,1,Medellín,John,06/07/2024,Cerrado,etc...;
Hugues O'Kinneally,Televisor,830964,10,Cali,Oscar,07/14/2024,Cerrado,Tecnología;
Moshe Camus,etc...,252603,9,Cali,Karen,07/21/2024,Cancelado,Electrodomésticos;
Stinky Scanlon,Laptop,1258983,5,etc...,Karen,08/21/2024,Cerrado,Tecnología;
Harris Bricknell,etc...,2317041,8,Medellín,Oscar,09/29/2024,Pendiente,Tecnología;
Karlotta Gorrissen,Celular,1662697,10,Bogotá,Karen,03/09/2025,Pendiente,Tecnología;
Freeman Latchmore,Laptop,2208810,9,Cali,John,06/22/2024,Cancelado,Electrodomésticos;
Jillian Vasyukhin,Televisor,2822719,8,Medellín,Oscar,12/13/2024,Pendiente,Accesorios;
Dolli Blue,Laptop,1203033,4,Medellín,John,08/09/2024,Cancelado,Electrodomésticos;
Susette Pringuer,Celular,514856,8,Medellín,Karen,06/30/2024,Pendiente,etc...;
Fletcher Guiel,Laptop,2733862,10,etc...,Karen,04/10/2025,Cancelado,Tecnología;
Rik Duding,Laptop,2959427,4,Bogotá,Karen,02/09/2025,Cancelado,Electrodomésticos;
Foss Bunt,Celular,2749020,4,Bogotá,Oscar,07/18/2024,Pendiente,Tecnología;
Orville Troutbeck,etc...,1169700,5,Medellín,Karen,12/20/2024,Pendiente,Tecnología;
Gianna Jendrusch,Televisor,2322594,3,Medellín,Karen,03/09/2025,Cancelado,Electrodomésticos;
Sherline Raistrick,Celular,2505221,7,etc...,John,02/06/2025,Cerrado,Electrodomésticos;
Elena Bellon,Televisor,2626240,6,Cali,John,08/14/2024,Pendiente,etc...;
Rosy Roache,Celular,167773,5,Medellín,John,06/29/2024,Cancelado,etc...;
Roi Courtenay,Televisor,1611052,6,Medellín,Karen,10/12/2024,Pendiente,Electrodomésticos;
Rickey Loxley,Celular,388918,10,etc...,John,10/13/2024,Pendiente,Tecnología;
Ladonna Duckerin,etc...,2685276,6,Cali,Karen,11/14/2024,Pendiente,Tecnología;
Clementina Gammel,Televisor,2322890,1,etc...,Oscar,02/14/2025,Pendiente,Accesorios;
Ann Tomkin,Televisor,2250778,1,Medellín,Oscar,11/14/2024,Cancelado,Electrodomésticos;
Anthe Clipsham,Celular,1620052,10,Cali,Karen,01/24/2025,Pendiente,Electrodomésticos;
Harlen Masden,etc...,831416,9,Cali,Oscar,05/24/2024,Pendiente,Tecnología;
Malinda Casone,Celular,607261,2,Bogotá,Oscar,09/01/2024,Cerrado,Tecnología;
Hedwig Antcliffe,Laptop,1057297,5,Bogotá,Oscar,05/20/2024,Pendiente,Electrodomésticos;
Gal Dassindale,Celular,1318508,9,Bogotá,Oscar,08/22/2024,Pendiente,etc...;
Prentiss Jagoe,Celular,686537,1,Bogotá,Karen,11/24/2024,Cerrado,Tecnología;
Kattie Clemanceau,Televisor,1542683,9,Bogotá,Oscar,09/14/2024,Cerrado,etc...;
Hannie Southerden,Televisor,938517,2,etc...,John,12/02/2024,Pendiente,Accesorios;
Bambie Fredi,Celular,570447,4,Medellín,Karen,11/01/2024,Cancelado,etc...;
Adair Velareal,Laptop,715208,7,Medellín,Karen,09/27/2024,Cancelado,Accesorios;
Koralle Normabell,Televisor,1384312,1,Medellín,Karen,01/08/2025,Cerrado,Electrodomésticos;
Halli Gerge,etc...,957170,7,Bogotá,Oscar,10/03/2024,Pendiente,Tecnología;
Camilla Kobieriecki,Laptop,2632974,6,Bogotá,John,08/14/2024,Cerrado,Accesorios;
Magdaia Lofthouse,Celular,1320720,7,Cali,John,08/08/2024,Cerrado,Accesorios;
Aylmar McNamee,Laptop,695275,9,Medellín,Karen,06/21/2024,Cancelado,Tecnología;
Farlee Dancey,Televisor,1731974,10,Medellín,Karen,01/02/2025,Pendiente,Tecnología;
Darb Chatters,Laptop,1438152,3,Cali,John,05/10/2024,Cerrado,Electrodomésticos;
Olga Crocket,Laptop,2644889,7,Cali,Oscar,03/20/2025,Cancelado,Accesorios;
Peggy Atthowe,Televisor,1774766,2,Medellín,John,03/20/2025,Cerrado,Accesorios;
Estevan Lyosik,Laptop,1204165,1,Medellín,John,07/20/2024,Cancelado,Tecnología;
Burr de Guise,Laptop,2519518,9,Cali,Oscar,10/29/2024,Pendiente,Electrodomésticos;
Wittie Spir,Televisor,1985945,6,Cali,John,05/07/2025,Cerrado,etc...;
Rhianon Bottlestone,Televisor,2722936,9,Cali,Karen,04/14/2025,Pendiente,Tecnología;
Edyth D'Onise,Televisor,2074519,6,Bogotá,John,02/13/2025,Cerrado,etc...;
Davis Rouke,Laptop,1132423,9,Medellín,Oscar,09/09/2024,Pendiente,etc...;
Gorden Wishart,Televisor,2674880,2,etc...,Oscar,04/14/2025,Cancelado,Electrodomésticos;
Der Pluvier,Televisor,2998578,3,etc...,John,10/25/2024,Pendiente,etc...;
Cele Varian,Laptop,2374707,1,etc...,Karen,01/11/2025,Cancelado,etc...;
Layla Welling,Laptop,2620187,10,Cali,Karen,08/01/2024,Cerrado,Tecnología;
Maribeth Leythley,Celular,2224152,10,etc...,John,02/03/2025,Cancelado,etc...;
Christoforo Grioli,Laptop,1715022,9,Cali,John,06/09/2024,Pendiente,Tecnología;
Chiarra Karpov,Televisor,970964,6,Bogotá,John,08/17/2024,Cerrado,Electrodomésticos;
Gal Attiwill,Televisor,953759,4,Cali,Karen,03/17/2025,Cancelado,Accesorios;
Angelina Harnwell,Televisor,981161,2,Bogotá,Oscar,10/08/2024,Pendiente,etc...;
Auria McInteer,etc...,1381959,9,etc...,Karen,06/16/2024,Cerrado,Electrodomésticos;
Raimondo Ivanitsa,Laptop,235975,4,Medellín,Karen,05/23/2024,Cerrado,etc...;
Kristi D'Alessio,etc...,2482966,10,Bogotá,John,05/10/2024,Cancelado,Electrodomésticos;
Ludovika Mabe,Televisor,2123011,7,Medellín,Karen,05/08/2025,Cancelado,Electrodomésticos;
Grannie Eakeley,Celular,2152835,5,etc...,Oscar,01/13/2025,Pendiente,etc...;
Farley Vollam,Televisor,828538,7,Medellín,Oscar,03/19/2025,Cerrado,Tecnología;
Ivor Powell,Televisor,1306557,3,Medellín,John,05/23/2024,Cancelado,Tecnología;
Drona Ballsdon,Televisor,612861,9,Bogotá,Karen,10/04/2024,Pendiente,Tecnología;
Mignonne Ruddom,Televisor,150363,1,Bogotá,John,10/09/2024,Cancelado,Tecnología;
Godard Pafford,Celular,815974,1,etc...,Oscar,04/25/2025,Pendiente,Electrodomésticos;
Kevyn Grigs,Laptop,2429386,4,Cali,John,12/23/2024,Pendiente,Electrodomésticos;
Godfree McClinton,Televisor,1810882,2,Medellín,Oscar,02/22/2025,Cerrado,etc...;
Tore Bhatia,Celular,2650006,4,Cali,Oscar,11/09/2024,Pendiente,etc...;
Kippy Chelam,Celular,2248577,1,Medellín,Karen,04/25/2025,Pendiente,Electrodomésticos;
Wendie Rebillard,etc...,1422027,3,Cali,Karen,11/02/2024,Pendiente,Tecnología;
Grover Dimock,Laptop,1334135,7,etc...,Oscar,01/07/2025,Cancelado,Tecnología;
Carol Assel,Laptop,2079408,9,Medellín,Karen,03/24/2025,Pendiente,Accesorios;
Edith Dilon,etc...,1054590,5,etc...,Oscar,07/15/2024,Pendiente,Accesorios;
Beatrisa Adelman,Televisor,2149938,6,Cali,John,01/22/2025,Cerrado,Accesorios;
Maureen Podbury,Laptop,2920994,4,Bogotá,Oscar,08/19/2024,Cancelado,Electrodomésticos;
Alfi Fippe,Televisor,387188,7,Cali,John,10/14/2024,Pendiente,Tecnología;
Lyndell Roath,Televisor,2579669,10,etc...,Karen,04/10/2025,Cancelado,Tecnología;
Tomasine Wingatt,Laptop,201566,3,Medellín,Karen,01/15/2025,Pendiente,etc...;
Jackie Dabbs,Laptop,1852381,7,etc...,Oscar,09/23/2024,Cerrado,Tecnología;
Larisa Moorwood,Celular,2720291,4,etc...,John,06/14/2024,Cancelado,Tecnología;
Caesar Elderkin,Laptop,1193761,2,Cali,Karen,03/16/2025,Cerrado,Accesorios;
Orsa Khomin,Laptop,2868898,3,Medellín,Oscar,04/28/2025,Pendiente,Accesorios;
Melodie Greatbank,Celular,1382439,9,Bogotá,Karen,09/06/2024,Cancelado,Tecnología;
Charlotte Martschik,Televisor,849985,6,Cali,Karen,08/06/2024,Cerrado,Accesorios;
Audra Sheere,etc...,2088193,4,Cali,Oscar,05/11/2024,Cancelado,etc...;
Zackariah McAnulty,etc...,1766118,10,Medellín,Karen,02/06/2025,Cancelado,Tecnología;
Bevvy Belfrage,Celular,222999,10,Bogotá,John,04/16/2025,Pendiente,Tecnología;
Andie Trahear,Laptop,1718424,8,Bogotá,John,11/25/2024,Cerrado,Tecnología;
Davida Rowlinson,Laptop,743524,2,Cali,Oscar,05/03/2025,Cancelado,Tecnología;
Findley Tewelson,etc...,2834054,6,etc...,Oscar,09/10/2024,Cerrado,etc...;
Finley Stoffersen,Laptop,540074,10,Cali,Karen,04/12/2025,Cerrado,etc...;
Truda Mauchline,etc...,1289636,7,Bogotá,Karen,08/22/2024,Cerrado,Tecnología;
Micki Schorah,Televisor,591025,8,Medellín,Karen,01/13/2025,Cerrado,Electrodomésticos;
Husein Jee,Celular,2535062,7,etc...,John,11/25/2024,Cerrado,etc...;
Daren Summerbell,Televisor,145765,4,etc...,Oscar,02/06/2025,Cerrado,Accesorios;
Dian Keijser,Televisor,338885,5,Cali,John,07/07/2024,Cancelado,etc...;
Queenie Hammerstone,Laptop,197885,1,etc...,Karen,04/08/2025,Cerrado,Electrodomésticos;
Brod Keers,Laptop,2520236,3,etc...,Oscar,01/26/2025,Pendiente,Tecnología;
Ida Pithcock,Celular,1100829,4,Bogotá,John,11/05/2024,Pendiente,Electrodomésticos;
Shoshana Kleinfeld,Laptop,435956,2,etc...,Oscar,06/07/2024,Cerrado,Tecnología;
Goddart Gisby,Televisor,2938302,7,etc...,Karen,01/04/2025,Cerrado,etc...;
Pris Matyashev,Televisor,1125689,5,Cali,Oscar,10/10/2024,Pendiente,Electrodomésticos;
Bonnee McWhannel,Laptop,2935718,1,etc...,Oscar,01/18/2025,Pendiente,etc...;
Chantal Bretelle,Televisor,811822,5,Bogotá,Karen,02/19/2025,Pendiente,Accesorios;
Teirtza Weth,Laptop,142031,2,Bogotá,Karen,02/23/2025,Pendiente,etc...;
Killian Chevis,Celular,1307541,4,Medellín,Oscar,08/29/2024,Pendiente,Accesorios;
Hilton Sidnall,Laptop,1756685,7,Medellín,Karen,03/29/2025,Pendiente,etc...;
Dalenna Traviss,etc...,739946,7,Medellín,John,10/17/2024,Pendiente,Electrodomésticos;
Margalo Greydon,etc...,2080309,4,Medellín,Karen,03/02/2025,Cancelado,etc...;
Jodie Varley,Celular,558528,5,Medellín,Karen,05/17/2024,Pendiente,Accesorios;
Florenza Marchi,Televisor,328620,5,Medellín,John,09/04/2024,Pendiente,Accesorios;
Lyndsay McMurdo,Laptop,2986429,5,etc...,Oscar,09/28/2024,Pendiente,Accesorios;
Lorna Jore,etc...,1173995,5,Cali,Oscar,01/06/2025,Pendiente,Electrodomésticos;
Minetta Feasley,Laptop,397533,3,Medellín,Karen,05/16/2024,Cancelado,Tecnología;
Abbey Pegg,etc...,2944446,1,Medellín,Oscar,05/29/2024,Cancelado,etc...;
Thaddus Valente,Celular,998929,7,etc...,Oscar,11/30/2024,Pendiente,etc...;
Austina Petticrow,Celular,1146106,4,Cali,Karen,11/23/2024,Cancelado,etc...;
Hetty Willmore,etc...,1087380,3,Medellín,Karen,12/07/2024,Cerrado,Electrodomésticos;
Michal Mavin,Laptop,143506,9,Cali,Karen,08/04/2024,Pendiente,Accesorios;
Lina Caldairou,Celular,1734292,1,Medellín,Oscar,09/27/2024,Pendiente,etc...;
Rozamond Haggerston,etc...,545147,4,Bogotá,John,03/15/2025,Cerrado,etc...;
Ebenezer McFfaden,Laptop,1990717,2,etc...,John,04/22/2025,Pendiente,Accesorios;
Wilona Riggeard,Celular,2260335,4,Bogotá,Karen,08/08/2024,Pendiente,Tecnología;
Andre Libreros,etc...,1740371,9,etc...,Oscar,01/14/2025,Pendiente,Accesorios;
Belita Moatt,etc...,693923,5,Cali,Oscar,06/19/2024,Pendiente,Accesorios;
Shanda Ilett,Laptop,641960,2,Cali,Oscar,09/29/2024,Cancelado,Electrodomésticos;
Yankee Roux,etc...,951708,8,Medellín,John,08/11/2024,Pendiente,Accesorios;
Dorry Scudder,Laptop,1255731,3,Medellín,John,11/28/2024,Pendiente,Tecnología;
Rozele Penzer,Laptop,1182580,8,etc...,John,09/23/2024,Pendiente,etc...;
Kelly Coudray,Televisor,2247049,10,Bogotá,John,10/15/2024,Cerrado,Accesorios;
Eugenio Culter,Televisor,2618386,10,etc...,Oscar,03/30/2025,Cancelado,Tecnología;
Fayina Vamplus,Celular,1074807,10,Bogotá,John,04/17/2025,Cancelado,Tecnología;
Ryon Emmanuele,Laptop,1620871,2,Bogotá,John,04/04/2025,Cancelado,etc...;
Virgie Edgars,etc...,1124211,7,Medellín,Karen,04/25/2025,Cerrado,Tecnología;
Ferdy Spawell,etc...,545193,7,etc...,Oscar,03/22/2025,Cerrado,Accesorios;
Grethel Regorz,Televisor,2890175,3,Medellín,Karen,02/12/2025,Pendiente,Electrodomésticos;
Ally O'Crevy,Laptop,2754635,5,Medellín,John,02/19/2025,Cancelado,Accesorios;
Leontine Colliber,etc...,1273714,1,Medellín,Karen,12/20/2024,Cerrado,Tecnología;
Yevette Fydo,Televisor,1350888,10,Medellín,John,06/25/2024,Cerrado,Tecnología;
Karen Harcombe,etc...,2054575,3,Medellín,John,01/08/2025,Cancelado,Accesorios;
Junette Plomer,Celular,109996,1,Medellín,Karen,06/26/2024,Cancelado,Electrodomésticos;
Moses Zelley,Televisor,2892843,5,Cali,John,09/28/2024,Cerrado,Tecnología;
Cortie Goodding,Televisor,779202,2,etc...,Oscar,12/28/2024,Pendiente,Tecnología;
Magdaia Pummell,Laptop,2615176,7,Medellín,Karen,06/21/2024,Cerrado,Accesorios;
Aryn Malan,etc...,1459949,1,Cali,Oscar,11/21/2024,Cancelado,Accesorios;
Celia Slocket,Celular,1408277,1,Bogotá,Karen,04/08/2025,Cancelado,Accesorios;
Corbie Naden,Celular,507251,1,etc...,John,11/21/2024,Pendiente,Electrodomésticos;
Halie Klainman,etc...,2556919,5,Bogotá,Karen,07/09/2024,Cancelado,Electrodomésticos;
Eunice Byass,Laptop,652844,4,Medellín,Oscar,03/17/2025,Pendiente,etc...;
Kylila Densumbe,Laptop,1039723,7,Cali,Karen,09/18/2024,Cancelado,etc...;
Aube Stewart,Celular,1181975,2,Bogotá,John,06/11/2024,Pendiente,etc...;
Cully Ventura,Celular,1105077,2,Medellín,Karen,03/19/2025,Cancelado,etc...;
Lynnea Kerbey,Laptop,2607340,7,etc...,Oscar,06/08/2024,Cancelado,etc...;
Dagmar Sucre,Televisor,2328636,8,etc...,Oscar,07/15/2024,Cerrado,Electrodomésticos;
Nahum Stoaks,Televisor,2649592,5,Bogotá,Karen,03/15/2025,Cancelado,Tecnología;
Monte Kinrade,Celular,2717629,5,Bogotá,Karen,01/02/2025,Cancelado,Accesorios;
Marthe Bradane,Televisor,2033077,6,Medellín,Oscar,09/07/2024,Cancelado,Electrodomésticos;
Rianon Kildale,etc...,2203517,3,Bogotá,Karen,03/27/2025,Cancelado,etc...;
Marlane Tugman,Laptop,1541583,6,Bogotá,John,08/16/2024,Cancelado,Tecnología;
Kanya Barge,etc...,738127,1,Medellín,Karen,04/25/2025,Cancelado,Electrodomésticos;
Gal Phayre,Televisor,1236861,2,Bogotá,Oscar,06/27/2024,Cancelado,Electrodomésticos;
Sullivan Pearman,Televisor,348933,5,Medellín,John,05/28/2024,Cerrado,Electrodomésticos;
Cliff Gloyens,Televisor,1199624,7,Cali,Karen,10/17/2024,Pendiente,etc...;
Cal Seden,Televisor,2507556,8,Cali,Karen,06/29/2024,Cerrado,Tecnología;
Monro Mault,Laptop,399423,8,Bogotá,John,12/08/2024,Cancelado,Accesorios;
Tim Backes,Celular,2142711,4,Cali,Oscar,12/01/2024,Cancelado,Accesorios;
Shelly Boyle,Televisor,2091733,1,Cali,Karen,08/10/2024,Cerrado,Accesorios;
Mord Simonelli,Laptop,350356,4,Cali,Karen,04/09/2025,Pendiente,etc...;
Jeremiah Fitzroy,Laptop,348886,2,Cali,John,09/07/2024,Cancelado,Electrodomésticos;
Shoshana Tredgold,Laptop,2344637,7,etc...,Oscar,07/30/2024,Pendiente,etc...;
Lynnelle Tayt,Televisor,336880,2,Medellín,John,08/26/2024,Pendiente,Tecnología;
Gilbert Nibley,Televisor,2333051,3,Medellín,Karen,07/17/2024,Pendiente,Accesorios;
Cordie De Michele,Laptop,2579852,3,etc...,John,09/10/2024,Pendiente,etc...;
Yorke Swett,Televisor,1590149,4,Medellín,Karen,04/03/2025,Pendiente,etc...;
Dinah Birkhead,Laptop,839753,3,Medellín,Oscar,03/13/2025,Cerrado,Accesorios;
Minetta Gehrtz,Laptop,1794713,8,etc...,Karen,11/24/2024,Cancelado,Accesorios;
Olva Lidgard,etc...,2409097,4,etc...,John,01/14/2025,Cancelado,Tecnología;
Marie-jeanne Cullinan,Televisor,2757064,8,etc...,Oscar,09/30/2024,Pendiente,etc...;
Aura Gurney,Celular,2236297,6,Medellín,Karen,02/18/2025,Cancelado,Tecnología;
Courtnay Wessel,etc...,1306963,3,etc...,Oscar,08/24/2024,Cerrado,Accesorios;
Junette Gavrielly,Televisor,2948576,3,etc...,John,10/03/2024,Cancelado,etc...;
Marni Gayler,Celular,284325,4,etc...,Oscar,10/03/2024,Pendiente,Tecnología;
Lon Nattrass,Televisor,471777,9,Medellín,Karen,11/01/2024,Pendiente,Electrodomésticos;
Albie Bannester,etc...,1918265,9,etc...,Karen,09/19/2024,Pendiente,etc...;
Nat Barstow,Laptop,1407977,10,Medellín,Karen,03/15/2025,Pendiente,Accesorios;
